Etape	m2	p2
1510	758	0
1511	758	0
1512	758	0
1513	758	0
1514	758	0
1515	758	0
1516	758	0
1517	759	0
1518	760	0
1519	760	0
1520	760	0
1521	761	0
1522	761	0
1523	762	0
1524	762	0
1525	762	0
1526	763	0
1527	763	0
1528	763	0
1529	764	0
1530	764	0
1531	764	0
1532	764	0
1533	764	0
1534	764	0
1535	764	0
1536	765	0
1537	765	0
1538	766	0
1539	766	0
1540	767	0
1541	767	0
1542	767	0
1543	767	0
1544	768	0
1545	768	0
1546	769	0
1547	769	0
1548	769	0
1549	769	0
1550	770	0
1551	770	0
1552	770	0
1553	770	0
1554	771	0
1555	772	0
1556	773	0
1557	773	0
1558	773	0
1559	773	0
1560	773	0
1561	774	0
1562	774	0
1563	774	0
1564	774	0
1565	774	0
1566	774	0
1567	774	0
1568	774	0
1569	774	0
1570	774	0
1571	774	0
1572	774	0
1573	775	0
1574	775	0
1575	776	0
1576	776	0
1577	776	0
1578	776	0
1579	777	0
1580	777	0
1581	777	0
1582	777	0
1583	777	0
1584	778	0
1585	778	0
1586	778	0
1587	778	0
1588	779	0
1589	779	0
1590	779	0
1591	780	0
1592	780	0
1593	780	0
1594	780	0
1595	781	0
1596	781	0
1597	782	0
1598	782	0
1599	782	0
1600	782	0
1601	782	0
1602	782	0
1603	782	0
1604	783	0
1605	783	0
1606	783	0
1607	783	0
1608	783	0
1609	784	0
1610	784	0
1611	784	0
1612	785	0
1613	786	0
1614	786	0
1615	787	0
1616	787	0
1617	787	0
1618	787	0
1619	787	0
1620	787	0
1621	787	0
1622	787	0
1623	787	0
1624	787	0
1625	787	0
1626	787	0
1627	787	0
1628	787	0
1629	787	0
1630	787	0
1631	787	0
1632	787	0
1633	787	0
1634	787	0
1635	787	0
1636	787	0
1637	787	0
1638	787	0
1639	787	0
1640	787	0
1641	787	0
1642	787	0
1643	787	0
1644	787	0
1645	787	0
1646	788	0
1647	788	0
1648	788	0
1649	788	0
1650	788	0
1651	788	0
1652	788	0
1653	788	0
1654	788	0
1655	788	0
